ds_rank,name,pos,team,pos_rank,ds_tier,games,adp,bye,sos,injury,floor,cons_proj,proj,ceil,value
74,J Dart,QB,NYG,13,6,17.0,98,8.0,4.8,0.36,277.0,298.0,318.0,417.0,24.0
75,B Tuten,RB,JAC,25,6,17.0,56,7.0,0.9,0.43,157.0,183.0,183.0,303.0,24.0
76,T Henderson,RB,NE,26,6,17.0,58,11.0,-1.9,0.64,154.0,181.0,183.0,302.0,23.0
77,J Price,RB,SEA,27,6,17.0,59,11.0,5.6,0.29,146.0,180.0,182.0,297.0,23.0
78,B Nix,QB,DEN,14,7,17.0,111,10.0,-3.7,0.28,279.0,291.0,310.0,410.0,22.0
79,D Metcalf,WR,PIT,31,7,17.0,75,9.0,-2.6,0.36,174.0,188.0,207.0,263.0,22.0
80,K Pitts,TE,ATL,8,7,17.0,72,11.0,4.8,0.53,170.0,179.0,185.0,246.0,22.0
81,R Dowdle,RB,PIT,28,7,17.0,80,9.0,-2.1,0.27,157.0,174.0,183.0,280.0,22.0
82,J Brooks,RB,CAR,29,7,17.0,79,5.0,-6.0,0.35,144.0,161.0,175.0,301.0,22.0
83,P Mahomes,QB,KC,15,7,17.0,112,5.0,-3.2,0.37,276.0,295.0,307.0,414.0,21.0
84,C Tate,WR,TEN,32,7,17.0,68,9.0,5.0,0.4,168.0,174.0,200.0,280.0,21.0
85,M Harrison Jr.,WR,ARI,33,7,17.0,71,14.0,-0.8,0.55,173.0,181.0,196.0,277.0,21.0
86,G Kittle,TE,SF,9,7,17.0,90,8.0,-3.6,0.44,141.0,184.0,186.0,260.0,21.0
87,J Goff,QB,DET,16,7,17.0,122,6.0,-0.9,0.23,279.0,279.0,303.0,403.0,20.0
88,J Reed,WR,GB,34,7,17.0,109,11.0,1.3,0.36,167.0,181.0,201.0,266.0,20.0
89,T Pollard,RB,TEN,30,7,17.0,74,9.0,2.9,0.35,151.0,170.0,175.0,270.0,20.0
90,M Lloyd,RB,GB,31,7,17.0,114,11.0,-2.2,0.72,141.0,158.0,168.0,289.0,20.0
91,M Stafford,QB,LAR,17,7,17.0,103,11.0,-0.0,0.39,278.0,283.0,299.0,403.0,19.0
92,M Pittman Jr.,WR,PIT,36,7,17.0,92,9.0,-2.6,0.6,173.0,179.0,201.0,257.0,19.0
93,C Sutton,WR,DEN,35,7,17.0,73,10.0,-2.5,0.43,171.0,184.0,198.0,264.0,19.0
94,J Dobbins,RB,DEN,32,7,17.0,89,10.0,0.1,0.39,145.0,160.0,170.0,269.0,19.0
95,J Love,QB,GB,18,7,17.0,145,11.0,-0.3,0.82,277.0,278.0,298.0,402.0,18.0
96,T Shough,QB,NO,19,7,17.0,149,8.0,0.5,0.17,273.0,274.0,297.0,406.0,18.0
97,B Mayfield,QB,TB,20,8,17.0,135,10.0,-0.8,0.37,278.0,278.0,292.0,406.0,18.0
98,J Addison,WR,MIN,37,8,17.0,104,6.0,4.9,0.37,162.0,167.0,196.0,266.0,18.0
99,C Godwin,WR,TB,39,8,17.0,86,10.0,2.6,0.4,154.0,175.0,190.0,280.0,18.0
100,B Thomas Jr.,WR,JAC,38,8,17.0,78,7.0,4.0,0.35,164.0,178.0,188.0,279.0,18.0
